1.1. Imprime Bonjour UpyLaB !;2.1. Assignations simples;2.2. Moyenne arithmetique;2.3. La regle de trois;2.4. Moyenne arithmetique 2;2.5. Sommets d'un hexagone;2.6. Volume d'une sphere;2.7. Impression d'expressions diverses;2.8. Impressions de textes;3.1. Teste egalite parmi 3 nombres;3.2. Simple test sur un entier a lu;3.3. Teste abc;3.4. Parite;3.5. a diviseur ou divise par b;3.6. Roulette;3.7. Moyenne geometrique;3.8. Polyedres reguliers;3.9. Moyenne d'une suite de nombres;3.10. Petit jeu;3.11. Programme qui evalue sin(x);3.12. Carre de 'X';3.13. Triangle superieur de 'X';3.14. Somme de valeurs lues
3;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;
9;1;1;1;1;7;1;1;3;1;1;1;1;2;3;1;2;3;3;2;1;16;1
1;2;3;1;1;;2;1;2;2;1;1;1;1;;2;11;11;;;;;
8;1;3;2;2;;;;;;;;;;;;;;;;;;
9;5;1;1;1;;;;;;;;;;;;;;;;;;
1;2;1;1;1;1;1;1;2;1;2;1;1;2;2;1;2;2;7;;;;
1;1;1;1;1;1;1;1;1;1;1;1;1;2;4;1;1;2;1;3;2;1;1
5;2;1;1;2;1;2;1;2;1;2;2;1;3;3;2;2;1;5;2;2;1;1
1;;;;;;;;;;;;;;;;;;;;;;
;1;2;1;2;;;;;;;;;;;;;;;;;;
3;2;2;1;1;;2;5;11;2;11;3;2;1;7;4;;3;29;;6;7;9
;5;1;5;1;;;;;;;;;;;;;;;;;;
2;1;1;1;2;1;1;3;1;2;1;1;1;2;6;1;2;1;1;15;1;1;1
1;2;1;1;3;1;1;10;2;2;3;2;2;4;10;1;5;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
2;3;2;1;1;11;1;2;3;5;2;1;4;1;3;5;13;2;30;2;1;1;
1;;;;;;;;;;;;;;;;;;;;;;
3;2;2;1;2;9;1;1;3;3;1;1;1;1;12;2;1;5;30;4;3;3;5
4;1;4;2;1;;1;3;2;1;1;2;1;;6;;;;;;;;
1;3;1;1;1;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
1;2;;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;
2;2;1;1;1;3;2;1;6;1;4;1;8;3;;17;;;;;;;
2;2;1;2;2;3;3;2;6;1;1;1;1;2;3;1;8;2;10;7;1;9;1
2;2;1;1;1;4;1;1;4;2;1;1;;;;;;;;;;;
1;5;1;2;;;;;;;;;;;;;;;;;;;
1;1;11;1;1;10;1;1;1;2;2;1;1;18;1;1;4;6;12;;1;2;5
4;3;8;1;1;;;;;;;;;;;;;;;;;;
4;1;1;2;1;7;1;1;5;4;2;1;1;1;4;1;1;2;9;;2;4;
1;1;3;;;;;;;;;;;;;;;;;;;;
1;1;1;1;5;2;1;3;3;1;1;3;1;4;8;3;15;8;24;5;1;3;12
4;1;2;1;3;1;1;2;3;;;;;;;;;;;;;;
2;3;3;1;1;1;;;;;;;;;;;;;;;;;
1;11;9;1;1;3;3;8;3;5;10;3;2;3;;;;;;;;;
4;12;1;1;2;11;1;2;1;6;1;1;1;10;14;6;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;
1;1;1;1;2;3;1;3;13;1;1;1;1;1;2;2;2;2;;2;2;9;2
1;;;;;;;;;;;;;;;;;;;;;;
2;2;4;2;1;2;2;5;9;2;2;6;1;1;3;1;3;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;
5;1;2;1;1;40;8;9;22;4;15;1;4;4;27;3;15;2;;;;;
1;1;1;1;1;;;;;;;;;;;;;;;;;;
1;2;1;1;1;2;1;1;2;2;1;1;1;2;5;1;;1;5;;1;2;
3;4;6;1;2;;14;;2;;;;;;;;;;;;;;
1;1;1;3;1;2;1;1;1;1;1;1;2;2;2;2;1;2;15;2;3;9;1
4;;;;;;;;;;;;;;;;;;;;;;
5;2;1;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
3;3;1;;;;;;;;;;;;;;;;;;;;
3;1;2;1;1;;;2;1;2;1;1;2;3;;2;;;;;;;
;5;9;6;1;21;5;4;39;8;3;4;4;40;71;1;5;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
2;1;1;1;2;3;3;1;1;4;3;1;1;1;35;2;5;11;8;16;5;69;3
9;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;
1;1;1;1;6;;1;4;3;4;1;1;1;2;;2;4;;;;;;
1;2;10;2;1;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;
3;1;1;1;1;2;1;1;3;2;1;1;1;3;1;2;4;3;1;3;1;2;2
1;2;1;1;1;2;2;1;1;;;;;;;;;;;;;;
;2;2;2;3;;;;;;;;;;;;;;;;;;
